t_ms,true_x,true_y,yaw_deg,map_x,map_y,fused_x,fused_y,enc_x,enc_y,enc_w,imu_ok,seg,auto_state,route_complete,front_cm,left_cm,out_vx,out_vy,map_lim,front_lim,left_lim,clearance,odom_err
10730,2.7310,1.7665,0.00,2.5840,2.0971,2.2094,1.7920,2.2088,1.7976,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.3618
10740,2.7310,1.7665,0.00,2.5840,2.1090,2.2094,1.8039,2.2088,1.8095,0.500,1,2,5,0,0,0,0,150,0,0,0,0.000,0.3727
10750,2.7310,1.7665,0.00,2.5841,2.1209,2.2095,1.8159,2.2088,1.8215,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.3837
10760,2.7310,1.7665,0.00,2.5841,2.1328,2.2095,1.8277,2.2088,1.8333,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.3947
10770,2.7310,1.7665,0.00,2.5842,2.1447,2.2095,1.8395,2.2088,1.8449,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4057
10780,2.7310,1.7665,0.00,2.5842,2.1563,2.2096,1.8510,2.2088,1.8564,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4165
10790,2.7310,1.7665,0.00,2.5843,2.1678,2.2096,1.8624,2.2088,1.8676,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4273
10800,2.7310,1.7665,0.00,2.5843,2.1790,2.2096,1.8736,2.2088,1.8786,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4378
10810,2.7310,1.7665,0.00,2.5844,2.1901,2.2096,1.8845,2.2088,1.8895,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4482
10820,2.7310,1.7665,0.00,2.5844,2.2009,2.2097,1.8953,2.2088,1.9001,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4585
10830,2.7310,1.7665,0.00,2.5845,2.2116,2.2097,1.9058,2.2088,1.9105,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4686
10840,2.7310,1.7665,0.00,2.5846,2.2220,2.2097,1.9162,2.2088,1.9208,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4785
10850,2.7310,1.7665,0.00,2.5846,2.2323,2.2098,1.9264,2.2088,1.9308,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4882
10860,2.7310,1.7665,0.00,2.5847,2.2423,2.2098,1.9363,2.2088,1.9406,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.4978
10870,2.7310,1.7665,0.00,2.5847,2.2522,2.2098,1.9461,2.2088,1.9503,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5072
10880,2.7310,1.7665,0.00,2.5848,2.2618,2.2098,1.9557,2.2088,1.9597,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5164
10890,2.7310,1.7665,0.00,2.5848,2.2712,2.2099,1.9650,2.2088,1.9690,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5255
10900,2.7310,1.7665,0.00,2.5849,2.2805,2.2099,1.9742,2.2088,1.9780,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5344
10910,2.7310,1.7665,0.00,2.5849,2.2895,2.2099,1.9831,2.2088,1.9869,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5430
10920,2.7310,1.7665,0.00,2.5850,2.2984,2.2100,1.9919,2.2088,1.9955,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5516
10930,2.7310,1.7665,0.00,2.5850,2.3070,2.2100,2.0005,2.2088,2.0039,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5599
10940,2.7310,1.7665,0.00,2.5851,2.3155,2.2100,2.0088,2.2088,2.0122,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5680
10950,2.7310,1.7665,0.00,2.5852,2.3237,2.2100,2.0170,2.2088,2.0202,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5760
10960,2.7310,1.7665,0.00,2.5852,2.3318,2.2101,2.0250,2.2088,2.0280,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5838
10970,2.7310,1.7665,0.00,2.5853,2.3396,2.2101,2.0327,2.2088,2.0357,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5913
10980,2.7310,1.7665,0.00,2.5853,2.3473,2.2101,2.0403,2.2088,2.0431,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.5987
10990,2.7310,1.7665,0.00,2.5854,2.3547,2.2102,2.0476,2.2088,2.0503,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6060
11000,2.7310,1.7665,0.00,2.5854,2.3619,2.2102,2.0548,2.2088,2.0574,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6130
11010,2.7310,1.7665,0.00,2.5855,2.3690,2.2102,2.0618,2.2088,2.0642,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6198
11020,2.7310,1.7665,0.00,2.5855,2.3758,2.2102,2.0685,2.2088,2.0708,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6265
11030,2.7310,1.7665,0.00,2.5856,2.3825,2.2103,2.0751,2.2088,2.0773,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6329
11040,2.7310,1.7665,0.00,2.5857,2.3889,2.2103,2.0814,2.2088,2.0835,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6392
11050,2.7310,1.7665,0.00,2.5857,2.3952,2.2103,2.0876,2.2088,2.0896,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6452
11060,2.7310,1.7665,0.00,2.5858,2.4013,2.2104,2.0936,2.2088,2.0955,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6512
11070,2.7310,1.7665,0.00,2.5858,2.4073,2.2104,2.0996,2.2088,2.1015,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6570
11080,2.7310,1.7665,0.00,2.5859,2.4133,2.2104,2.1056,2.2088,2.1075,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6629
11090,2.7310,1.7665,0.00,2.5859,2.4193,2.2104,2.1116,2.2088,2.1134,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6687
11100,2.7310,1.7665,0.00,2.5860,2.4253,2.2105,2.1176,2.2088,2.1194,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6746
11110,2.7310,1.7665,0.00,2.5860,2.4314,2.2105,2.1236,2.2088,2.1254,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6805
11120,2.7310,1.7665,0.00,2.5861,2.4374,2.2105,2.1296,2.2088,2.1314,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6864
11130,2.7310,1.7665,0.00,2.5861,2.4434,2.2106,2.1356,2.2088,2.1373,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6922
11140,2.7310,1.7665,0.00,2.5862,2.4494,2.2106,2.1416,2.2088,2.1433,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.6981
11150,2.7310,1.7665,0.00,2.5863,2.4555,2.2106,2.1476,2.2088,2.1493,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7040
11160,2.7310,1.7665,0.00,2.5863,2.4615,2.2106,2.1536,2.2088,2.1552,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7099
11170,2.7310,1.7665,0.00,2.5864,2.4675,2.2107,2.1596,2.2088,2.1612,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7158
11180,2.7310,1.7665,0.00,2.5864,2.4735,2.2107,2.1656,2.2088,2.1672,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7217
11190,2.7310,1.7665,0.00,2.5865,2.4796,2.2107,2.1716,2.2088,2.1731,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7276
11200,2.7310,1.7665,0.00,2.5865,2.4856,2.2108,2.1776,2.2088,2.1791,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7335
11210,2.7310,1.7665,0.00,2.5866,2.4916,2.2108,2.1836,2.2088,2.1851,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7394
11220,2.7310,1.7665,0.00,2.5866,2.4977,2.2108,2.1896,2.2088,2.1911,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7453
11230,2.7310,1.7665,0.00,2.5867,2.5037,2.2108,2.1956,2.2088,2.1970,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7512
11240,2.7310,1.7665,0.00,2.5867,2.5097,2.2109,2.2016,2.2088,2.2030,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7571
11250,2.7310,1.7665,0.00,2.5868,2.5157,2.2109,2.2076,2.2088,2.2090,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7630
11260,2.7310,1.7665,0.00,2.5869,2.5218,2.2109,2.2136,2.2088,2.2149,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7689
11270,2.7310,1.7665,0.00,2.5869,2.5278,2.2110,2.2196,2.2088,2.2209,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7748
11280,2.7310,1.7665,0.00,2.5870,2.5338,2.2110,2.2256,2.2088,2.2269,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7807
11290,2.7310,1.7665,0.00,2.5870,2.5398,2.2110,2.2316,2.2088,2.2328,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7866
11300,2.7310,1.7665,0.00,2.5871,2.5459,2.2111,2.2375,2.2088,2.2388,0.500,1,2,5,0,0,0,0,75,0,0,0,0.000,0.7925
